year,model,body_style,price,mileage,city
2022,Tiguan,SUV,23461.0,50754.0,Rome
2022,Compass,SUV,23490.0,36965.0,Cicero
2022,Compass,SUV,23490.0,35808.0,Cicero
2022,Escape,SUV,23495.0,24337.0,Camden
2022,Equinox,SUV,23500.0,20709.0,Cicero
2022,Rogue,SUV,23500.0,35313.0,Syracuse
2022,Equinox,SUV,23587.0,23074.0,Liverpool
2022,Escape,SUV,23591.0,21034.0,Carthage
2022,Escape,SUV,23636.0,40036.0,Bridgeport
2022,Escape,SUV,23725.0,35957.0,Central Square
2022,Equinox,SUV,23785.0,25473.0,Oswego
2022,Sportage,SUV,23815.0,15488.0,East Syracuse
2022,Equinox,SUV,23882.0,9460.0,Cicero
2022,Tucson,SUV,23888.0,21856.0,Liverpool
2022,Tiguan,SUV,23888.0,54286.0,Whitesboro
2022,CX-30,SUV,23915.0,38060.0,Cicero
2022,Trailblazer,SUV,23930.0,30254.0,East Syracuse
2022,Equinox,SUV,23932.0,32472.0,East Syracuse
2022,Equinox,SUV,23945.0,22976.0,Central Square
2022,Bronco Sport,SUV,23946.0,16593.0,Central Square
2022,Sportage,SUV,23995.0,45716.0,Syracuse
2022,CX-5,SUV,23999.0,37043.0,Baldwinsville
2022,Cherokee,SUV,24095.0,62673.0,Bridgeport
2022,Equinox,SUV,24225.0,21950.0,Central Square
2022,Tiguan,SUV,24264.0,41619.0,Cicero
2022,Compass,SUV,24444.0,24173.0,Syracuse
2022,Tucson,SUV,24444.0,28236.0,Bridgeport
2022,CX-30,SUV,24446.0,37073.0,Cicero
2022,CX-30,SUV,24495.0,21630.0,Syracuse
2022,Civic,Hatchback,24495.0,14655.0,Syracuse
2022,Tiguan,SUV,24587.0,32187.0,Rome
2022,Santa Fe,SUV,24600.0,23631.0,Central Square
2022,Compass,SUV,24632.0,16456.0,Central Square
2022,Rogue,SUV,24789.0,23539.0,Liverpool
2022,Explorer,SUV,24812.0,85340.0,Rome
2022,Equinox,SUV,24866.0,12653.0,Cicero
2022,Compass,SUV,24888.0,29698.0,Fulton
2022,Prius Prime,Hatchback,24900.0,36312.0,Oneida
2022,Bronco Sport,SUV,24927.0,41660.0,Carthage
2022,Equinox,SUV,24931.0,31085.0,East Syracuse
2022,Equinox,SUV,24933.0,33366.0,East Syracuse
2022,Discovery Sport,SUV,24955.0,28818.0,Liverpool
2022,Blazer,SUV,24964.0,64345.0,East Syracuse
2022,Outlander,SUV,24990.0,30986.0,Cicero
2022,Escape,SUV,24990.0,30916.0,Cicero
2022,Equinox,SUV,24999.0,34197.0,Baldwinsville
2022,Forester,SUV,24999.0,22616.0,Baldwinsville
2022,Outlander,SUV,25000.0,30161.0,Cicero
2022,Bronco Sport,SUV,25000.0,23142.0,Auburn
2022,Equinox,SUV,25000.0,34636.0,Cicero
2021,Spark,Hatchback,15999.0,10880.0,Syracuse
2021,Terrain,SUV,17200.0,83391.0,Central Square
2021,CX-30,SUV,18257.0,53537.0,Rome
2021,Rogue Sport,SUV,18800.0,36151.0,Central Square
2021,Trailblazer,SUV,18888.0,71999.0,Liverpool
2021,Seltos,SUV,18988.0,43544.0,Liverpool
2021,Rogue,SUV,18989.0,85697.0,Rome
2021,Equinox,SUV,18989.0,59483.0,Rome
2021,Sportage,SUV,19511.0,39471.0,Cicero
2021,Rogue,SUV,19680.0,93924.0,Rome
2021,EcoSport,SUV,19685.0,10026.0,Auburn
2021,Rogue,SUV,19875.0,89204.0,Phoenix
2021,Sportage,SUV,19888.0,35743.0,Liverpool
2021,Encore GX,SUV,20013.0,57646.0,Cicero
2021,Renegade,SUV,20214.0,24080.0,Cicero
2021,Terrain,SUV,20422.0,87936.0,Rome
2021,Encore GX,SUV,20500.0,30869.0,Syracuse
2021,EcoSport,SUV,20828.0,2441.0,Carthage
2021,CX-5,SUV,20988.0,78426.0,Liverpool
2021,Seltos,SUV,20991.0,29924.0,Cicero
2021,Rogue Sport,SUV,20994.0,22525.0,Bridgeport
2021,Terrain,SUV,20995.0,68800.0,Syracuse
2021,HR-V,SUV,21255.0,40177.0,Liverpool
2021,Equinox,SUV,21285.0,21818.0,Oswego
2021,Traverse,SUV,21485.0,82000.0,Oswego
2021,Rogue Sport,SUV,21499.0,16635.0,Syracuse
2021,Equinox,SUV,21499.0,44418.0,Syracuse
2021,Renegade,SUV,21516.0,16896.0,East Syracuse
2021,Equinox,SUV,21600.0,24743.0,East Syracuse
2021,Trailblazer,SUV,21829.0,29212.0,East Syracuse
2021,Blazer,SUV,21985.0,66119.0,Oswego
2021,Renegade,SUV,21994.0,2877.0,Central Square
2021,Sportage,SUV,21995.0,44655.0,Auburn
2021,CR-V,SUV,21995.0,88348.0,Auburn
2021,Renegade,SUV,22000.0,4222.0,Syracuse
2021,Equinox,SUV,22495.0,37064.0,Phoenix
2021,X3,SUV,22495.0,75331.0,East Syracuse
2021,Escape,SUV,22544.0,29281.0,Carthage
2021,Equinox,SUV,22581.0,38060.0,Cicero
2021,Equinox,SUV,22867.0,29120.0,Central Square
2021,Equinox,SUV,22903.0,72470.0,Rome
2021,Crosstrek,SUV,22988.0,62600.0,Liverpool
2021,Crosstrek,SUV,23485.0,49007.0,Rome
