BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,OVERALL_STARS,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,car_key,comb08,cylinders,fuelType,make,model,trany,VClass,year,youSaveSpend,baseModel,guzzler
SW,MPV,AWD,5,5.0,0.151,4.0,2017 SUBARU CROSSTREK,29.0,4.0,Regular,Subaru,Crosstrek AWD,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2017.0,250.0,Crosstrek,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 SUBARU FORESTER,28.0,4.0,Regular,Subaru,Forester AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2017.0,0.0,Forester,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 SUBARU FORESTER,24.0,4.0,Regular,Subaru,Forester AWD,Manual 6-spd,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Forester,
SUV,MPV,AWD,7 or 8,5.0,0.169,4.0,2017 TOYOTA HIGHLANDER,23.0,6.0,Regular,Toyota,Highlander LE/XLE/SE/LTD,Automatic (S8),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Highlander,
SUV,MPV,AWD,7 or 8,5.0,0.169,4.0,2017 TOYOTA HIGHLANDER,23.0,6.0,Regular,Toyota,Highlander,Automatic (S8),Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Highlander,
SUV,MPV,AWD,7 or 8,5.0,0.169,4.0,2017 TOYOTA HIGHLANDER,28.0,6.0,Regular,Toyota,Highlander Hybrid AWD,Automatic (AV-S6),Standard Sport Utility Vehicle 4WD,2017.0,0.0,Highlander,
SUV,MPV,AWD,7 or 8,5.0,0.169,4.0,2017 TOYOTA HIGHLANDER,29.0,6.0,Regular,Toyota,Highlander Hybrid AWD LE Plus,Automatic (AV-S6),Standard Sport Utility Vehicle 4WD,2017.0,250.0,Highlander,
SUV,MPV,AWD,7 or 8,5.0,0.169,4.0,2017 TOYOTA HIGHLANDER,23.0,6.0,Regular,Toyota,Highlander AWD LE,Automatic (S8),Standard Sport Utility Vehicle 4WD,2017.0,-1750.0,Highlander,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 TOYOTA RAV4,25.0,4.0,Regular,Toyota,RAV4,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-1000.0,RAV4,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 TOYOTA RAV4,26.0,4.0,Regular,Toyota,RAV4 LE/XLE,Automatic (S6),Small Sport Utility Vehicle 2WD,2017.0,-500.0,RAV4,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 TOYOTA RAV4,25.0,4.0,Regular,Toyota,RAV4 AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1000.0,RAV4,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 TOYOTA RAV4,24.0,4.0,Regular,Toyota,RAV4 Limited AWD/SE AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1500.0,RAV4,
SUV,MPV,AWD,5,5.0,0.169,4.0,2017 TOYOTA RAV4,32.0,4.0,Regular,Toyota,RAV4 Hybrid AWD,Automatic (AV-S6),Small Sport Utility Vehicle 4WD,2017.0,1000.0,RAV4,
SUV,MPV,AWD,5,5.0,0.176,4.0,2017 VOLVO XC60,26.0,4.0,Regular,Volvo,XC60 FWD,Automatic (S8),Small Sport Utility Vehicle 2WD,2017.0,-500.0,XC60,
SUV,MPV,AWD,5,5.0,0.176,4.0,2017 VOLVO XC60,23.0,4.0,Regular,Volvo,XC60 AWD,Automatic (S8),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,XC60,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 BUICK ENCORE,30.0,4.0,Regular,Buick,Encore,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,500.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 BUICK ENCORE,28.0,4.0,Regular,Buick,Encore AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,0.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 BUICK ENCORE,27.0,4.0,Regular,Buick,Encore AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-250.0,Encore,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 BUICK ENCORE,28.0,4.0,Regular,Buick,Encore,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,0.0,Encore,
SUV,MPV,AWD,5,5.0,0.159,4.0,2018 BUICK ENVISION,25.0,4.0,Regular,Buick,Envision FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2018.0,-1000.0,Envision,
SUV,MPV,AWD,5,5.0,0.159,4.0,2018 BUICK ENVISION,24.0,4.0,Regular,Buick,Envision AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2018.0,-1500.0,Envision,
SUV,MPV,AWD,5,4.0,0.165,4.0,2018 CHEVROLET EQUINOX,28.0,4.0,Regular,Chevrolet,Equinox FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2018.0,0.0,Equinox,
SUV,MPV,AWD,5,4.0,0.165,4.0,2018 CHEVROLET EQUINOX,26.0,4.0,Regular,Chevrolet,Equinox AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2018.0,-500.0,Equinox,
SUV,MPV,AWD,5,5.0,0.164,4.0,2018 CHEVROLET EQUINOX,28.0,4.0,Regular,Chevrolet,Equinox FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2018.0,0.0,Equinox,
SUV,MPV,AWD,5,5.0,0.164,4.0,2018 CHEVROLET EQUINOX,26.0,4.0,Regular,Chevrolet,Equinox AWD,Automatic 6-spd,Small Sport Utility Vehicle 4WD,2018.0,-500.0,Equinox,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 CHEVROLET TRAX,27.0,4.0,Regular,Chevrolet,Trax AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-250.0,Trax,
SUV,MPV,AWD,5,5.0,0.179,4.0,2018 CHEVROLET TRAX,28.0,4.0,Regular,Chevrolet,Trax,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,0.0,Trax,
SUV,PC,AWD,5,4.0,0.191,4.0,2018 FORD ECOSPORT,28.0,3.0,Regular,Ford,EcoSport FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,0.0,EcoSport,
SUV,PC,AWD,5,4.0,0.191,4.0,2018 FORD ECOSPORT,25.0,4.0,Regular,Ford,EcoSport AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-1000.0,EcoSport,
SUV,MPV,AWD,5,5.0,0.155,4.0,2018 FORD EDGE,24.0,4.0,Regular,Ford,Edge FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,-1500.0,Edge,
SUV,MPV,AWD,5,5.0,0.155,4.0,2018 FORD EDGE,24.0,4.0,Regular,Ford,Edge FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,-1500.0,Edge,
SUV,MPV,AWD,5,5.0,0.155,4.0,2018 FORD EDGE,23.0,4.0,Regular,Ford,Edge AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-1750.0,Edge,
SUV,MPV,AWD,5,5.0,0.185,4.0,2018 FORD ESCAPE,26.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,-500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2018 FORD ESCAPE,24.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,-1500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2018 FORD ESCAPE,24.0,4.0,Regular,Ford,Escape FWD,Automatic (S6),Small Sport Utility Vehicle 2WD,2018.0,-1500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2018 FORD ESCAPE,24.0,4.0,Regular,Ford,Escape AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-1500.0,Escape,
SUV,MPV,AWD,5,5.0,0.185,4.0,2018 FORD ESCAPE,23.0,4.0,Regular,Ford,Escape AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2018.0,-1750.0,Escape,
SUV,MPV,AWD,5 to 7,5.0,0.15,4.0,2018 GMC ACADIA,23.0,4.0,Regular,GMC,Acadia FWD,Automatic 6-spd,Standard Sport Utility Vehicle 2WD,2018.0,-1750.0,Acadia,
SUV,MPV,AWD,5 to 7,5.0,0.15,4.0,2018 GMC ACADIA,23.0,4.0,Regular,GMC,Acadia AWD,Automatic 6-spd,Standard Sport Utility Vehicle 4WD,2018.0,-1750.0,Acadia,
SUV,MPV,AWD,5,4.0,0.165,4.0,2018 GMC TERRAIN,26.0,4.0,Regular,GMC,Terrain AWD,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2018.0,-500.0,Terrain,
SUV,MPV,AWD,5,4.0,0.165,4.0,2018 GMC TERRAIN,28.0,4.0,Regular,GMC,Terrain FWD,Automatic 9-spd,Small Sport Utility Vehicle 2WD,2018.0,0.0,Terrain,
SUV,MPV,AWD,5,5.0,0.164,4.0,2018 GMC TERRAIN,26.0,4.0,Regular,GMC,Terrain AWD,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2018.0,-500.0,Terrain,
SUV,MPV,AWD,5,5.0,0.164,4.0,2018 GMC TERRAIN,28.0,4.0,Regular,GMC,Terrain FWD,Automatic 9-spd,Small Sport Utility Vehicle 2WD,2018.0,0.0,Terrain,
SUV,MPV,AWD,5,5.0,0.162,4.0,2018 HONDA CR-V,28.0,4.0,Regular,Honda,CR-V FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2018.0,0.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2018 HONDA CR-V,30.0,4.0,Regular,Honda,CR-V FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2018.0,500.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2018 HONDA CR-V,27.0,4.0,Regular,Honda,CR-V AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2018.0,-250.0,CR-V,
SUV,MPV,AWD,5,5.0,0.162,4.0,2018 HONDA CR-V,29.0,4.0,Regular,Honda,CR-V AWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,2018.0,250.0,CR-V,
