car_key,OVERALL_STARS,NUM_OF_SEATING,comb08,Avg_Price,Avg_Mileage,youSaveSpend,cylinders,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,utility_score
2018 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2018 JEEP CHEROKEE,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2018 JEEP RENEGADE,4.0,5.0,24.0,,,-1500.0,4.0,0.23,3.0,
2018 JEEP RENEGADE,4.0,5.0,25.0,,,-1000.0,4.0,0.23,3.0,
2018 KIA SORENTO,5.0,6.0,24.0,,,-1500.0,4.0,0.15,4.0,
2018 KIA SORENTO,5.0,6.0,23.0,,,-1750.0,4.0,0.15,4.0,
2018 KIA SPORTAGE,5.0,5.0,26.0,,,-500.0,4.0,0.147,4.0,
2018 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2018 KIA SPORTAGE,5.0,5.0,23.0,,,-1750.0,4.0,0.147,4.0,
2018 KIA SPORTAGE,5.0,5.0,25.0,,,-1000.0,4.0,0.147,4.0,
2018 LINCOLN MKC,4.0,5.0,23.0,,,-1750.0,4.0,0.169,4.0,
2018 MAZDA CX-3,,,,18600.0,55044.0,,,,,
2018 MAZDA CX-9,5.0,7.0,24.0,,,-1500.0,4.0,0.151,4.0,
2018 MAZDA CX-9,5.0,7.0,23.0,,,-1750.0,4.0,0.151,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,27.0,,,-250.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,-1000.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,27.0,,,-250.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,-1000.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,26.0,,,-500.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,26.0,,,-500.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,-1000.0,4.0,0.164,4.0,
2018 MITSUBISHI OUTLANDER,5.0,7.0,25.0,,,1250.0,4.0,0.164,4.0,
2018 NISSAN PATHFINDER,5.0,7.0,23.0,,,-1750.0,6.0,0.179,4.0,
2018 SUBARU CROSSTREK,5.0,5.0,25.0,,,-1000.0,4.0,0.156,4.0,
2018 SUBARU CROSSTREK,5.0,5.0,29.0,,,250.0,4.0,0.156,4.0,
2018 SUBARU OUTBACK,5.0,5.0,28.0,,,0.0,4.0,0.174,4.0,
2018 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2018 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2018 TOYOTA HIGHLANDER,5.0,7.5,23.0,,,-1750.0,6.0,0.169,4.0,
2018 TOYOTA HIGHLANDER,5.0,7.5,28.0,,,0.0,6.0,0.169,4.0,
2018 TOYOTA HIGHLANDER,5.0,7.5,29.0,,,250.0,6.0,0.169,4.0,
2018 TOYOTA RAV4,5.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2018 TOYOTA RAV4,5.0,5.0,26.0,,,-500.0,4.0,0.169,4.0,
2018 TOYOTA RAV4,5.0,5.0,25.0,,,-1000.0,4.0,0.169,4.0,
2018 TOYOTA RAV4,5.0,5.0,24.0,,,-1500.0,4.0,0.169,4.0,
2018 TOYOTA RAV4,5.0,5.0,32.0,,,1000.0,4.0,0.169,4.0,
2018 VOLKSWAGEN ATLAS,5.0,6.5,24.0,,,-1500.0,4.0,0.136,4.0,
